relpath,writer,source,script,kind
bhh_001/bhh_001_g_01.png,bhh_001,bhsig260_hindi,devanagari,genuine
bhh_001/bhh_001_g_02.png,bhh_001,bhsig260_hindi,devanagari,genuine
bhh_001/bhh_001_g_03.png,bhh_001,bhsig260_hindi,devanagari,genuine
bhh_001/bhh_001_g_04.png,bhh_001,bhsig260_hindi,devanagari,genuine
bhh_001/bhh_001_g_05.png,bhh_001,bhsig260_hindi,devanagari,genuine
bhh_001/bhh_001_g_06.png,bhh_001,bhsig260_hindi,devanagari,genuine
bhh_001/bhh_001_g_07.png,bhh_001,bhsig260_hindi,devanagari,genuine
bhh_001/bhh_001_g_08.png,bhh_001,bhsig260_hindi,devanagari,genuine
bhh_001/bhh_001_g_09.png,bhh_001,bhsig260_hindi,devanagari,genuine
bhh_001/bhh_001_g_10.png,bhh_001,bhsig260_hindi,devanagari,genuine
bhh_001/bhh_001_g_11.png,bhh_001,bhsig260_hindi,devanagari,genuine
bhh_001/bhh_001_g_12.png,bhh_001,bhsig260_hindi,devanagari,genuine
bhh_001/bhh_001_g_13.png,bhh_001,bhsig260_hindi,devanagari,genuine
bhh_001/bhh_001_g_14.png,bhh_001,bhsig260_hindi,devanagari,genuine
bhh_001/bhh_001_g_15.png,bhh_001,bhsig260_hindi,devanagari,genuine
bhh_001/bhh_001_g_16.png,bhh_001,bhsig260_hindi,devanagari,genuine
bhh_001/bhh_001_g_17.png,bhh_001,bhsig260_hindi,devanagari,genuine
bhh_001/bhh_001_g_18.png,bhh_001,bhsig260_hindi,devanagari,genuine
bhh_001/bhh_001_g_19.png,bhh_001,bhsig260_hindi,devanagari,genuine
bhh_001/bhh_001_g_20.png,bhh_001,bhsig260_hindi,devanagari,genuine
bhh_001/bhh_001_g_21.png,bhh_001,bhsig260_hindi,devanagari,genuine
bhh_001/bhh_001_g_22.png,bhh_001,bhsig260_hindi,devanagari,genuine
bhh_001/bhh_001_g_23.png,bhh_001,bhsig260_hindi,devanagari,genuine
bhh_001/bhh_001_g_24.png,bhh_001,bhsig260_hindi,devanagari,genuine
bhh_001_forg/bhh_001_f_01.png,bhh_001,bhsig260_hindi,devanagari,forged
bhh_001_forg/bhh_001_f_02.png,bhh_001,bhsig260_hindi,devanagari,forged
bhh_001_forg/bhh_001_f_03.png,bhh_001,bhsig260_hindi,devanagari,forged
bhh_001_forg/bhh_001_f_04.png,bhh_001,bhsig260_hindi,devanagari,forged
bhh_001_forg/bhh_001_f_05.png,bhh_001,bhsig260_hindi,devanagari,forged
bhh_001_forg/bhh_001_f_06.png,bhh_001,bhsig260_hindi,devanagari,forged
bhh_001_forg/bhh_001_f_07.png,bhh_001,bhsig260_hindi,devanagari,forged
bhh_001_forg/bhh_001_f_08.png,bhh_001,bhsig260_hindi,devanagari,forged
bhh_001_forg/bhh_001_f_09.png,bhh_001,bhsig260_hindi,devanagari,forged
bhh_001_forg/bhh_001_f_10.png,bhh_001,bhsig260_hindi,devanagari,forged
bhh_001_forg/bhh_001_f_11.png,bhh_001,bhsig260_hindi,devanagari,forged
bhh_001_forg/bhh_001_f_12.png,bhh_001,bhsig260_hindi,devanagari,forged
bhh_001_forg/bhh_001_f_13.png,bhh_001,bhsig260_hindi,devanagari,forged
bhh_001_forg/bhh_001_f_14.png,bhh_001,bhsig260_hindi,devanagari,forged
bhh_001_forg/bhh_001_f_15.png,bhh_001,bhsig260_hindi,devanagari,forged
bhh_001_forg/bhh_001_f_16.png,bhh_001,bhsig260_hindi,devanagari,forged
bhh_001_forg/bhh_001_f_17.png,bhh_001,bhsig260_hindi,devanagari,forged
bhh_001_forg/bhh_001_f_18.png,bhh_001,bhsig260_hindi,devanagari,forged
bhh_001_forg/bhh_001_f_19.png,bhh_001,bhsig260_hindi,devanagari,forged
bhh_001_forg/bhh_001_f_20.png,bhh_001,bhsig260_hindi,devanagari,forged
bhh_001_forg/bhh_001_f_21.png,bhh_001,bhsig260_hindi,devanagari,forged
bhh_001_forg/bhh_001_f_22.png,bhh_001,bhsig260_hindi,devanagari,forged
bhh_001_forg/bhh_001_f_23.png,bhh_001,bhsig260_hindi,devanagari,forged
bhh_001_forg/bhh_001_f_24.png,bhh_001,bhsig260_hindi,devanagari,forged
bhh_001_forg/bhh_001_f_25.png,bhh_001,bhsig260_hindi,devanagari,forged
bhh_001_forg/bhh_001_f_26.png,bhh_001,bhsig260_hindi,devanagari,forged
bhh_001_forg/bhh_001_f_27.png,bhh_001,bhsig260_hindi,devanagari,forged
bhh_001_forg/bhh_001_f_28.png,bhh_001,bhsig260_hindi,devanagari,forged
bhh_001_forg/bhh_001_f_29.png,bhh_001,bhsig260_hindi,devanagari,forged
bhh_001_forg/bhh_001_f_30.png,bhh_001,bhsig260_hindi,devanagari,forged
bhh_002/bhh_002_g_01.png,bhh_002,bhsig260_hindi,devanagari,genuine
bhh_002/bhh_002_g_02.png,bhh_002,bhsig260_hindi,devanagari,genuine
bhh_002/bhh_002_g_03.png,bhh_002,bhsig260_hindi,devanagari,genuine
bhh_002/bhh_002_g_04.png,bhh_002,bhsig260_hindi,devanagari,genuine
bhh_002/bhh_002_g_05.png,bhh_002,bhsig260_hindi,devanagari,genuine
bhh_002/bhh_002_g_06.png,bhh_002,bhsig260_hindi,devanagari,genuine
bhh_002/bhh_002_g_07.png,bhh_002,bhsig260_hindi,devanagari,genuine
bhh_002/bhh_002_g_08.png,bhh_002,bhsig260_hindi,devanagari,genuine
bhh_002/bhh_002_g_09.png,bhh_002,bhsig260_hindi,devanagari,genuine
bhh_002/bhh_002_g_10.png,bhh_002,bhsig260_hindi,devanagari,genuine
bhh_002/bhh_002_g_11.png,bhh_002,bhsig260_hindi,devanagari,genuine
bhh_002/bhh_002_g_12.png,bhh_002,bhsig260_hindi,devanagari,genuine
bhh_002/bhh_002_g_13.png,bhh_002,bhsig260_hindi,devanagari,genuine
bhh_002/bhh_002_g_14.png,bhh_002,bhsig260_hindi,devanagari,genuine
bhh_002/bhh_002_g_15.png,bhh_002,bhsig260_hindi,devanagari,genuine
bhh_002/bhh_002_g_16.png,bhh_002,bhsig260_hindi,devanagari,genuine
bhh_002/bhh_002_g_17.png,bhh_002,bhsig260_hindi,devanagari,genuine
bhh_002/bhh_002_g_18.png,bhh_002,bhsig260_hindi,devanagari,genuine
bhh_002/bhh_002_g_19.png,bhh_002,bhsig260_hindi,devanagari,genuine
bhh_002/bhh_002_g_20.png,bhh_002,bhsig260_hindi,devanagari,genuine
bhh_002/bhh_002_g_21.png,bhh_002,bhsig260_hindi,devanagari,genuine
bhh_002/bhh_002_g_22.png,bhh_002,bhsig260_hindi,devanagari,genuine
bhh_002/bhh_002_g_23.png,bhh_002,bhsig260_hindi,devanagari,genuine
bhh_002/bhh_002_g_24.png,bhh_002,bhsig260_hindi,devanagari,genuine
bhh_002_forg/bhh_002_f_01.png,bhh_002,bhsig260_hindi,devanagari,forged
bhh_002_forg/bhh_002_f_02.png,bhh_002,bhsig260_hindi,devanagari,forged
bhh_002_forg/bhh_002_f_03.png,bhh_002,bhsig260_hindi,devanagari,forged
bhh_002_forg/bhh_002_f_04.png,bhh_002,bhsig260_hindi,devanagari,forged
bhh_002_forg/bhh_002_f_05.png,bhh_002,bhsig260_hindi,devanagari,forged
bhh_002_forg/bhh_002_f_06.png,bhh_002,bhsig260_hindi,devanagari,forged
bhh_002_forg/bhh_002_f_07.png,bhh_002,bhsig260_hindi,devanagari,forged
bhh_002_forg/bhh_002_f_08.png,bhh_002,bhsig260_hindi,devanagari,forged
bhh_002_forg/bhh_002_f_09.png,bhh_002,bhsig260_hindi,devanagari,forged
bhh_002_forg/bhh_002_f_10.png,bhh_002,bhsig260_hindi,devanagari,forged
bhh_002_forg/bhh_002_f_11.png,bhh_002,bhsig260_hindi,devanagari,forged
bhh_002_forg/bhh_002_f_12.png,bhh_002,bhsig260_hindi,devanagari,forged
bhh_002_forg/bhh_002_f_13.png,bhh_002,bhsig260_hindi,devanagari,forged
bhh_002_forg/bhh_002_f_14.png,bhh_002,bhsig260_hindi,devanagari,forged
bhh_002_forg/bhh_002_f_15.png,bhh_002,bhsig260_hindi,devanagari,forged
bhh_002_forg/bhh_002_f_16.png,bhh_002,bhsig260_hindi,devanagari,forged
bhh_002_forg/bhh_002_f_17.png,bhh_002,bhsig260_hindi,devanagari,forged
bhh_002_forg/bhh_002_f_18.png,bhh_002,bhsig260_hindi,devanagari,forged
bhh_002_forg/bhh_002_f_19.png,bhh_002,bhsig260_hindi,devanagari,forged
bhh_002_forg/bhh_002_f_20.png,bhh_002,bhsig260_hindi,devanagari,forged
bhh_002_forg/bhh_002_f_21.png,bhh_002,bhsig260_hindi,devanagari,forged
bhh_002_forg/bhh_002_f_22.png,bhh_002,bhsig260_hindi,devanagari,forged
bhh_002_forg/bhh_002_f_23.png,bhh_002,bhsig260_hindi,devanagari,forged
bhh_002_forg/bhh_002_f_24.png,bhh_002,bhsig260_hindi,devanagari,forged
bhh_002_forg/bhh_002_f_25.png,bhh_002,bhsig260_hindi,devanagari,forged
bhh_002_forg/bhh_002_f_26.png,bhh_002,bhsig260_hindi,devanagari,forged
bhh_002_forg/bhh_002_f_27.png,bhh_002,bhsig260_hindi,devanagari,forged
bhh_002_forg/bhh_002_f_28.png,bhh_002,bhsig260_hindi,devanagari,forged
bhh_002_forg/bhh_002_f_29.png,bhh_002,bhsig260_hindi,devanagari,forged
bhh_002_forg/bhh_002_f_30.png,bhh_002,bhsig260_hindi,devanagari,forged
bhh_003/bhh_003_g_01.png,bhh_003,bhsig260_hindi,devanagari,genuine
bhh_003/bhh_003_g_02.png,bhh_003,bhsig260_hindi,devanagari,genuine
bhh_003/bhh_003_g_03.png,bhh_003,bhsig260_hindi,devanagari,genuine
bhh_003/bhh_003_g_04.png,bhh_003,bhsig260_hindi,devanagari,genuine
bhh_003/bhh_003_g_05.png,bhh_003,bhsig260_hindi,devanagari,genuine
bhh_003/bhh_003_g_06.png,bhh_003,bhsig260_hindi,devanagari,genuine
bhh_003/bhh_003_g_07.png,bhh_003,bhsig260_hindi,devanagari,genuine
bhh_003/bhh_003_g_08.png,bhh_003,bhsig260_hindi,devanagari,genuine
bhh_003/bhh_003_g_09.png,bhh_003,bhsig260_hindi,devanagari,genuine
bhh_003/bhh_003_g_10.png,bhh_003,bhsig260_hindi,devanagari,genuine
bhh_003/bhh_003_g_11.png,bhh_003,bhsig260_hindi,devanagari,genuine
bhh_003/bhh_003_g_12.png,bhh_003,bhsig260_hindi,devanagari,genuine
bhh_003/bhh_003_g_13.png,bhh_003,bhsig260_hindi,devanagari,genuine
bhh_003/bhh_003_g_14.png,bhh_003,bhsig260_hindi,devanagari,genuine
bhh_003/bhh_003_g_15.png,bhh_003,bhsig260_hindi,devanagari,genuine
bhh_003/bhh_003_g_16.png,bhh_003,bhsig260_hindi,devanagari,genuine
bhh_003/bhh_003_g_17.png,bhh_003,bhsig260_hindi,devanagari,genuine
bhh_003/bhh_003_g_18.png,bhh_003,bhsig260_hindi,devanagari,genuine
bhh_003/bhh_003_g_19.png,bhh_003,bhsig260_hindi,devanagari,genuine
bhh_003/bhh_003_g_20.png,bhh_003,bhsig260_hindi,devanagari,genuine
bhh_003/bhh_003_g_21.png,bhh_003,bhsig260_hindi,devanagari,genuine
bhh_003/bhh_003_g_22.png,bhh_003,bhsig260_hindi,devanagari,genuine
bhh_003/bhh_003_g_23.png,bhh_003,bhsig260_hindi,devanagari,genuine
bhh_003/bhh_003_g_24.png,bhh_003,bhsig260_hindi,devanagari,genuine
bhh_003_forg/bhh_003_f_01.png,bhh_003,bhsig260_hindi,devanagari,forged
bhh_003_forg/bhh_003_f_02.png,bhh_003,bhsig260_hindi,devanagari,forged
bhh_003_forg/bhh_003_f_03.png,bhh_003,bhsig260_hindi,devanagari,forged
bhh_003_forg/bhh_003_f_04.png,bhh_003,bhsig260_hindi,devanagari,forged
bhh_003_forg/bhh_003_f_05.png,bhh_003,bhsig260_hindi,devanagari,forged
bhh_003_forg/bhh_003_f_06.png,bhh_003,bhsig260_hindi,devanagari,forged
bhh_003_forg/bhh_003_f_07.png,bhh_003,bhsig260_hindi,devanagari,forged
bhh_003_forg/bhh_003_f_08.png,bhh_003,bhsig260_hindi,devanagari,forged
bhh_003_forg/bhh_003_f_09.png,bhh_003,bhsig260_hindi,devanagari,forged
bhh_003_forg/bhh_003_f_10.png,bhh_003,bhsig260_hindi,devanagari,forged
bhh_003_forg/bhh_003_f_11.png,bhh_003,bhsig260_hindi,devanagari,forged
bhh_003_forg/bhh_003_f_12.png,bhh_003,bhsig260_hindi,devanagari,forged
bhh_003_forg/bhh_003_f_13.png,bhh_003,bhsig260_hindi,devanagari,forged
bhh_003_forg/bhh_003_f_14.png,bhh_003,bhsig260_hindi,devanagari,forged
bhh_003_forg/bhh_003_f_15.png,bhh_003,bhsig260_hindi,devanagari,forged
bhh_003_forg/bhh_003_f_16.png,bhh_003,bhsig260_hindi,devanagari,forged
bhh_003_forg/bhh_003_f_17.png,bhh_003,bhsig260_hindi,devanagari,forged
bhh_003_forg/bhh_003_f_18.png,bhh_003,bhsig260_hindi,devanagari,forged
bhh_003_forg/bhh_003_f_19.png,bhh_003,bhsig260_hindi,devanagari,forged
bhh_003_forg/bhh_003_f_20.png,bhh_003,bhsig260_hindi,devanagari,forged
bhh_003_forg/bhh_003_f_21.png,bhh_003,bhsig260_hindi,devanagari,forged
bhh_003_forg/bhh_003_f_22.png,bhh_003,bhsig260_hindi,devanagari,forged
bhh_003_forg/bhh_003_f_23.png,bhh_003,bhsig260_hindi,devanagari,forged
bhh_003_forg/bhh_003_f_24.png,bhh_003,bhsig260_hindi,devanagari,forged
bhh_003_forg/bhh_003_f_25.png,bhh_003,bhsig260_hindi,devanagari,forged
bhh_003_forg/bhh_003_f_26.png,bhh_003,bhsig260_hindi,devanagari,forged
bhh_003_forg/bhh_003_f_27.png,bhh_003,bhsig260_hindi,devanagari,forged
bhh_003_forg/bhh_003_f_28.png,bhh_003,bhsig260_hindi,devanagari,forged
bhh_003_forg/bhh_003_f_29.png,bhh_003,bhsig260_hindi,devanagari,forged
bhh_003_forg/bhh_003_f_30.png,bhh_003,bhsig260_hindi,devanagari,forged
